Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,Kandidát
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,8,József,Menyhárt,  3,0.02,X
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,9,František,Mikloško,  407,3.96,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,10,Robert,Mistrík,  9,0.08,X
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,11,Maroš,Šefèoviè, 1 426,13.88,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,12,Róbert,Švec,  17,0.16,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,13,Bohumila,Tauchmannová,  16,0.15,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,14,Juraj,Zábojník,  27,0.26,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,15,Ivan,Zuzula,  14,0.13,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,1,Béla,Bugár,  366,0.90,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,2,Zuzana,Èaputová, 25 712,63.56,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,3,Martin,Daòo,  154,0.38,
