Názov,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
mestá a mestské èasti, 2 592,2 409 314,1 207 139,50.10,1 206 691,99.96,1 200 484,99.48
obce, 3 348,2 019 719, 951 720,47.12, 951 521,99.97, 944 880,99.30
