Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
2,Trnavskı kraj,202,Galanta,8,József,Menyhárt,  56,0.16,  9,0.06,  47,0.23,X
2,Trnavskı kraj,202,Galanta,9,František,Mikloško, 1 090,3.18,  495,3.49,  595,2.96,
2,Trnavskı kraj,202,Galanta,10,Robert,Mistrík,  50,0.14,  13,0.09,  37,0.18,X
2,Trnavskı kraj,202,Galanta,11,Maroš,Šefèoviè, 4 758,13.88, 2 264,15.96, 2 494,12.41,
2,Trnavskı kraj,202,Galanta,12,Róbert,Švec,  98,0.28,  46,0.32,  52,0.25,
2,Trnavskı kraj,202,Galanta,13,Bohumila,Tauchmannová,  44,0.12,  15,0.10,  29,0.14,
2,Trnavskı kraj,202,Galanta,14,Juraj,Zábojník,  70,0.20,  38,0.26,  32,0.15,
2,Trnavskı kraj,202,Galanta,15,Ivan,Zuzula,  43,0.12,  20,0.14,  23,0.11,
2,Trnavskı kraj,203,Piešany,1,Béla,Bugár,  261,0.92,  133,0.86,  128,1.00,
2,Trnavskı kraj,203,Piešany,2,Zuzana,Èaputová, 12 173,43.10, 7 373,47.72, 4 800,37.52,
2,Trnavskı kraj,203,Piešany,3,Martin,Daòo,  146,0.51,  79,0.51,  67,0.52,
2,Trnavskı kraj,203,Piešany,4,Štefan,Harabin, 3 883,13.75, 1 908,12.35, 1 975,15.44,
2,Trnavskı kraj,203,Piešany,5,Eduard,Chmelár,  878,3.10,  503,3.25,  375,2.93,
2,Trnavskı kraj,203,Piešany,6,Marian,Kotleba, 3 155,11.17, 1 272,8.23, 1 883,14.72,
2,Trnavskı kraj,203,Piešany,7,Milan,Krajniak,  579,2.05,  289,1.87,  290,2.26,
2,Trnavskı kraj,203,Piešany,8,József,Menyhárt,  6,0.02,  2,0.01,  4,0.03,X
2,Trnavskı kraj,203,Piešany,9,František,Mikloško, 1 636,5.79,  998,6.45,  638,4.98,
2,Trnavskı kraj,203,Piešany,10,Robert,Mistrík,  34,0.12,  4,0.02,  30,0.23,X
2,Trnavskı kraj,203,Piešany,11,Maroš,Šefèoviè, 5 213,18.45, 2 749,17.79, 2 464,19.26,
2,Trnavskı kraj,203,Piešany,12,Róbert,Švec,  83,0.29,  36,0.23,  47,0.36,
2,Trnavskı kraj,203,Piešany,13,Bohumila,Tauchmannová,  48,0.16,  28,0.18,  20,0.15,
2,Trnavskı kraj,203,Piešany,14,Juraj,Zábojník,  66,0.23,  38,0.24,  28,0.21,
2,Trnavskı kraj,203,Piešany,15,Ivan,Zuzula,  79,0.27,  37,0.23,  42,0.32,
2,Trnavskı kraj,204,Senica,1,Béla,Bugár,  421,0.94,  206,0.91,  215,0.97,
2,Trnavskı kraj,204,Senica,2,Zuzana,Èaputová, 20 510,45.98, 10 957,48.49, 9 553,43.41,
2,Trnavskı kraj,204,Senica,3,Martin,Daòo,  199,0.44,  100,0.44,  99,0.44,
2,Trnavskı kraj,204,Senica,4,Štefan,Harabin, 4 694,10.52, 2 407,10.65, 2 287,10.39,
2,Trnavskı kraj,204,Senica,5,Eduard,Chmelár, 1 108,2.48,  573,2.53,  535,2.43,
2,Trnavskı kraj,204,Senica,6,Marian,Kotleba, 5 643,12.65, 2 684,11.87, 2 959,13.44,
2,Trnavskı kraj,204,Senica,7,Milan,Krajniak, 1 357,3.04,  669,2.96,  688,3.12,
2,Trnavskı kraj,204,Senica,8,József,Menyhárt,  2,0.00,  0,0.00,  2,0.00,X
2,Trnavskı kraj,204,Senica,9,František,Mikloško, 1 941,4.35,  827,3.65, 1 114,5.06,
2,Trnavskı kraj,204,Senica,10,Robert,Mistrík,  84,0.18,  40,0.17,  44,0.19,X
2,Trnavskı kraj,204,Senica,11,Maroš,Šefèoviè, 8 215,18.41, 3 918,17.33, 4 297,19.52,
2,Trnavskı kraj,204,Senica,12,Róbert,Švec,  122,0.27,  57,0.25,  65,0.29,
2,Trnavskı kraj,204,Senica,13,Bohumila,Tauchmannová,  70,0.15,  32,0.14,  38,0.17,
2,Trnavskı kraj,204,Senica,14,Juraj,Zábojník,  123,0.27,  66,0.29,  57,0.25,
2,Trnavskı kraj,204,Senica,15,Ivan,Zuzula,  112,0.25,  60,0.26,  52,0.23,
2,Trnavskı kraj,205,Trnava,1,Béla,Bugár,  614,0.79,  270,0.69,  344,0.88,
2,Trnavskı kraj,205,Trnava,2,Zuzana,Èaputová, 32 517,41.89, 17 350,44.88, 15 167,38.92,
2,Trnavskı kraj,205,Trnava,3,Martin,Daòo,  381,0.49,  182,0.47,  199,0.51,
2,Trnavskı kraj,205,Trnava,4,Štefan,Harabin, 11 823,15.23, 5 508,14.24, 6 315,16.20,
2,Trnavskı kraj,205,Trnava,5,Eduard,Chmelár, 2 258,2.90, 1 208,3.12, 1 050,2.69,
2,Trnavskı kraj,205,Trnava,6,Marian,Kotleba, 7 684,9.90, 3 246,8.39, 4 438,11.39,
2,Trnavskı kraj,205,Trnava,7,Milan,Krajniak, 2 052,2.64, 1 034,2.67, 1 018,2.61,
2,Trnavskı kraj,205,Trnava,8,József,Menyhárt,  8,0.01,  2,0.00,  6,0.01,X
2,Trnavskı kraj,205,Trnava,9,František,Mikloško, 4 535,5.84, 2 372,6.13, 2 163,5.55,
2,Trnavskı kraj,205,Trnava,10,Robert,Mistrík,  96,0.12,  44,0.11,  52,0.13,X
2,Trnavskı kraj,205,Trnava,11,Maroš,Šefèoviè, 14 913,19.21, 7 075,18.30, 7 838,20.11,
2,Trnavskı kraj,205,Trnava,12,Róbert,Švec,  333,0.42,  167,0.43,  166,0.42,
2,Trnavskı kraj,205,Trnava,13,Bohumila,Tauchmannová,  103,0.13,  42,0.10,  61,0.15,
2,Trnavskı kraj,205,Trnava,14,Juraj,Zábojník,  167,0.21,  87,0.22,  80,0.20,
2,Trnavskı kraj,205,Trnava,15,Ivan,Zuzula,  130,0.16,  66,0.17,  64,0.16,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,1,Béla,Bugár,  196,1.22,  82,1.09,  114,1.33,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,2,Zuzana,Èaputová, 4 811,30.03, 2 473,33.08, 2 338,27.36,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,3,Martin,Daòo,  81,0.50,  33,0.44,  48,0.56,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,4,Štefan,Harabin, 2 469,15.41, 1 178,15.76, 1 291,15.10,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,5,Eduard,Chmelár,  518,3.23,  254,3.39,  264,3.08,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,6,Marian,Kotleba, 2 425,15.13, 1 041,13.92, 1 384,16.19,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,7,Milan,Krajniak,  454,2.83,  193,2.58,  261,3.05,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,8,József,Menyhárt,  3,0.01,  1,0.01,  2,0.02,X
3,Trenèiansky kraj,301,Bánovce nad Bebravou,9,František,Mikloško,  765,4.77,  301,4.02,  464,5.43,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,10,Robert,Mistrík,  20,0.12,  9,0.12,  11,0.12,X
3,Trenèiansky kraj,301,Bánovce nad Bebravou,11,Maroš,Šefèoviè, 4 109,25.65, 1 860,24.88, 2 249,26.31,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,12,Róbert,Švec,  55,0.34,  19,0.25,  36,0.42,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,13,Bohumila,Tauchmannová,  28,0.17,  8,0.10,  20,0.23,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,14,Juraj,Zábojník,  54,0.33,  15,0.20,  39,0.45,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,15,Ivan,Zuzula,  31,0.19,  7,0.09,  24,0.28,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,1,Béla,Bugár,  382,0.98,  171,0.87,  211,1.08,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,2,Zuzana,Èaputová, 16 514,42.41, 8 960,45.82, 7 554,38.98,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,3,Martin,Daòo,  216,0.55,  109,0.55,  107,0.55,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,4,Štefan,Harabin, 5 135,13.18, 2 511,12.84, 2 624,13.54,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,5,Eduard,Chmelár, 1 188,3.05,  635,3.24,  553,2.85,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,6,Marian,Kotleba, 4 237,10.88, 1 682,8.60, 2 555,13.18,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,7,Milan,Krajniak,  939,2.41,  446,2.28,  493,2.54,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,8,József,Menyhárt,  8,0.02,  6,0.03,  2,0.01,X
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,9,František,Mikloško, 1 382,3.54,  658,3.36,  724,3.73,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,10,Robert,Mistrík,  65,0.16,  31,0.15,  34,0.17,X
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,11,Maroš,Šefèoviè, 8 460,21.72, 4 147,21.20, 4 313,22.25,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,12,Róbert,Švec,  139,0.35,  78,0.39,  61,0.31,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,13,Bohumila,Tauchmannová,  58,0.14,  29,0.14,  29,0.14,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,14,Juraj,Zábojník,  134,0.34,  58,0.29,  76,0.39,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,15,Ivan,Zuzula,  76,0.19,  33,0.16,  43,0.22,
3,Trenèiansky kraj,303,Povaská Bystrica,1,Béla,Bugár,  572,1.23,  248,1.00,  324,1.50,
3,Trenèiansky kraj,303,Povaská Bystrica,2,Zuzana,Èaputová, 14 924,32.30, 9 242,37.53, 5 682,26.34,
3,Trenèiansky kraj,303,Povaská Bystrica,3,Martin,Daòo,  241,0.52,  116,0.47,  125,0.57,
3,Trenèiansky kraj,303,Povaská Bystrica,4,Štefan,Harabin, 7 927,17.16, 3 960,16.08, 3 967,18.39,
3,Trenèiansky kraj,303,Povaská Bystrica,5,Eduard,Chmelár, 1 599,3.46,  895,3.63,  704,3.26,
3,Trenèiansky kraj,303,Povaská Bystrica,6,Marian,Kotleba, 6 399,13.85, 2 780,11.28, 3 619,16.77,
3,Trenèiansky kraj,303,Povaská Bystrica,7,Milan,Krajniak, 1 294,2.80,  718,2.91,  576,2.67,
3,Trenèiansky kraj,303,Povaská Bystrica,8,József,Menyhárt,  4,0.00,  1,0.00,  3,0.01,X
3,Trenèiansky kraj,303,Povaská Bystrica,9,František,Mikloško, 2 348,5.08, 1 192,4.84, 1 156,5.35,
3,Trenèiansky kraj,303,Povaská Bystrica,10,Robert,Mistrík,  77,0.16,  38,0.15,  39,0.18,X
3,Trenèiansky kraj,303,Povaská Bystrica,11,Maroš,Šefèoviè, 10 341,22.38, 5 191,21.08, 5 150,23.87,
3,Trenèiansky kraj,303,Povaská Bystrica,12,Róbert,Švec,  162,0.35,  66,0.26,  96,0.44,
3,Trenèiansky kraj,303,Povaská Bystrica,13,Bohumila,Tauchmannová,  65,0.14,  36,0.14,  29,0.13,
3,Trenèiansky kraj,303,Povaská Bystrica,14,Juraj,Zábojník,  155,0.33,  96,0.38,  59,0.27,
3,Trenèiansky kraj,303,Povaská Bystrica,15,Ivan,Zuzula,  84,0.18,  45,0.18,  39,0.18,
3,Trenèiansky kraj,304,Prievidza,1,Béla,Bugár,  837,1.06,  420,1.06,  417,1.06,
3,Trenèiansky kraj,304,Prievidza,2,Zuzana,Èaputová, 27 145,34.58, 15 036,38.09, 12 109,31.03,
3,Trenèiansky kraj,304,Prievidza,3,Martin,Daòo,  465,0.59,  239,0.60,  226,0.57,
3,Trenèiansky kraj,304,Prievidza,4,Štefan,Harabin, 12 495,15.92, 6 309,15.98, 6 186,15.85,
3,Trenèiansky kraj,304,Prievidza,5,Eduard,Chmelár, 2 342,2.98, 1 209,3.06, 1 133,2.90,
3,Trenèiansky kraj,304,Prievidza,6,Marian,Kotleba, 9 773,12.45, 4 151,10.51, 5 622,14.40,
3,Trenèiansky kraj,304,Prievidza,7,Milan,Krajniak, 2 342,2.98, 1 179,2.98, 1 163,2.98,
3,Trenèiansky kraj,304,Prievidza,8,József,Menyhárt,  16,0.02,  3,0.00,  13,0.03,X
3,Trenèiansky kraj,304,Prievidza,9,František,Mikloško, 3 047,3.88, 1 246,3.15, 1 801,4.61,
3,Trenèiansky kraj,304,Prievidza,10,Robert,Mistrík,  146,0.18,  60,0.15,  86,0.22,X
3,Trenèiansky kraj,304,Prievidza,11,Maroš,Šefèoviè, 18 398,23.44, 8 774,22.23, 9 624,24.66,
3,Trenèiansky kraj,304,Prievidza,12,Róbert,Švec,  258,0.32,  104,0.26,  154,0.39,
3,Trenèiansky kraj,304,Prievidza,13,Bohumila,Tauchmannová,  121,0.15,  64,0.16,  57,0.14,
3,Trenèiansky kraj,304,Prievidza,14,Juraj,Zábojník,  987,1.25,  612,1.55,  375,0.96,
3,Trenèiansky kraj,304,Prievidza,15,Ivan,Zuzula,  109,0.13,  60,0.15,  49,0.12,
3,Trenèiansky kraj,305,Trenèín,1,Béla,Bugár,  867,1.10,  478,0.99,  389,1.29,
3,Trenèiansky kraj,305,Trenèín,2,Zuzana,Èaputová, 30 545,39.06, 20 629,42.87, 9 916,32.96,
3,Trenèiansky kraj,305,Trenèín,3,Martin,Daòo,  365,0.46,  210,0.43,  155,0.51,
3,Trenèiansky kraj,305,Trenèín,4,Štefan,Harabin, 12 850,16.43, 7 747,16.10, 5 103,16.96,
3,Trenèiansky kraj,305,Trenèín,5,Eduard,Chmelár, 2 646,3.38, 1 652,3.43,  994,3.30,
3,Trenèiansky kraj,305,Trenèín,6,Marian,Kotleba, 7 127,9.11, 3 621,7.52, 3 506,11.65,
3,Trenèiansky kraj,305,Trenèín,7,Milan,Krajniak, 1 912,2.44, 1 078,2.24,  834,2.77,
3,Trenèiansky kraj,305,Trenèín,8,József,Menyhárt,  10,0.01,  5,0.01,  5,0.01,X
3,Trenèiansky kraj,305,Trenèín,9,František,Mikloško, 4 354,5.56, 2 521,5.23, 1 833,6.09,
3,Trenèiansky kraj,305,Trenèín,10,Robert,Mistrík,  132,0.16,  75,0.15,  57,0.18,X
3,Trenèiansky kraj,305,Trenèín,11,Maroš,Šefèoviè, 16 699,21.35, 9 707,20.17, 6 992,23.24,
3,Trenèiansky kraj,305,Trenèín,12,Róbert,Švec,  247,0.31,  142,0.29,  105,0.34,
3,Trenèiansky kraj,305,Trenèín,13,Bohumila,Tauchmannová,  117,0.14,  66,0.13,  51,0.16,
3,Trenèiansky kraj,305,Trenèín,14,Juraj,Zábojník,  186,0.23,  110,0.22,  76,0.25,
3,Trenèiansky kraj,305,Trenèín,15,Ivan,Zuzula,  133,0.17,  72,0.14,  61,0.20,
4,Nitriansky kraj,401,Komárno,1,Béla,Bugár, 5 159,21.98, 1 926,14.89, 3 233,30.68,
4,Nitriansky kraj,401,Komárno,2,Zuzana,Èaputová, 11 254,47.96, 6 752,52.21, 4 502,42.73,
4,Nitriansky kraj,401,Komárno,3,Martin,Daòo,  95,0.40,  63,0.48,  32,0.30,
4,Nitriansky kraj,401,Komárno,4,Štefan,Harabin, 1 648,7.02, 1 124,8.69,  524,4.97,
4,Nitriansky kraj,401,Komárno,5,Eduard,Chmelár,  347,1.47,  232,1.79,  115,1.09,
4,Nitriansky kraj,401,Komárno,6,Marian,Kotleba, 1 159,4.93,  604,4.67,  555,5.26,
4,Nitriansky kraj,401,Komárno,7,Milan,Krajniak,  496,2.11,  270,2.08,  226,2.14,
4,Nitriansky kraj,401,Komárno,8,József,Menyhárt,  150,0.63,  56,0.43,  94,0.89,X
4,Nitriansky kraj,401,Komárno,9,František,Mikloško,  586,2.49,  354,2.73,  232,2.20,
4,Nitriansky kraj,401,Komárno,10,Robert,Mistrík,  33,0.14,  14,0.10,  19,0.18,X
4,Nitriansky kraj,401,Komárno,11,Maroš,Šefèoviè, 2 361,10.06, 1 412,10.92,  949,9.00,
4,Nitriansky kraj,401,Komárno,12,Róbert,Švec,  60,0.25,  45,0.34,  15,0.14,
4,Nitriansky kraj,401,Komárno,13,Bohumila,Tauchmannová,  20,0.08,  12,0.09,  8,0.07,
4,Nitriansky kraj,401,Komárno,14,Juraj,Zábojník,  53,0.22,  38,0.29,  15,0.14,
4,Nitriansky kraj,401,Komárno,15,Ivan,Zuzula,  44,0.18,  28,0.21,  16,0.15,
4,Nitriansky kraj,402,Levice,1,Béla,Bugár, 3 384,8.30, 1 082,5.62, 2 302,10.69,
4,Nitriansky kraj,402,Levice,2,Zuzana,Èaputová, 16 512,40.50, 9 185,47.72, 7 327,34.05,
4,Nitriansky kraj,402,Levice,3,Martin,Daòo,  225,0.55,  89,0.46,  136,0.63,
4,Nitriansky kraj,402,Levice,4,Štefan,Harabin, 4 903,12.02, 2 186,11.35, 2 717,12.62,
4,Nitriansky kraj,402,Levice,5,Eduard,Chmelár,  980,2.40,  538,2.79,  442,2.05,
