Kód kraja,Názov kraja,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platných hlasov,Podiel platných hlasov z platných hlasov pre všetkých kandidátov v %,"Poèet platných hlasov v mestách a mestských èastiach","Podiel platných hlasov v mestách a mestských èastiach v %","Poèet platných hlasov v obciach","Podiel platných hlasov v obciach v %",Kandidát
4,Nitriansky kraj,8,József,Menyhárt,  378,0.15,  108,0.09,  270,0.20,X
4,Nitriansky kraj,9,František,Mikloško, 9 933,4.03, 4 418,3.81, 5 515,4.22,
4,Nitriansky kraj,10,Robert,Mistrík,  424,0.17,  167,0.14,  257,0.19,X
4,Nitriansky kraj,11,Maroš,Šefèoviè, 47 034,19.08, 21 179,18.26, 25 855,19.80,
4,Nitriansky kraj,12,Róbert,Švec, 1 134,0.46,  567,0.48,  567,0.43,
4,Nitriansky kraj,13,Bohumila,Tauchmannová,  326,0.13,  146,0.12,  180,0.13,
4,Nitriansky kraj,14,Juraj,Zábojník,  594,0.24,  262,0.22,  332,0.25,
4,Nitriansky kraj,15,Ivan,Zuzula,  375,0.15,  165,0.14,  210,0.16,
5,Žilinský kraj,1,Béla,Bugár, 3 663,1.22, 1 663,1.13, 2 000,1.31,
5,Žilinský kraj,2,Zuzana,Èaputová, 101 389,33.82, 57 004,38.73, 44 385,29.08,
5,Žilinský kraj,3,Martin,Daòo, 1 587,0.52,  729,0.49,  858,0.56,
5,Žilinský kraj,4,Štefan,Harabin, 48 857,16.29, 23 199,15.76, 25 658,16.81,
5,Žilinský kraj,5,Eduard,Chmelár, 8 614,2.87, 4 620,3.13, 3 994,2.61,
5,Žilinský kraj,6,Marian,Kotleba, 39 860,13.29, 15 878,10.79, 23 982,15.71,
5,Žilinský kraj,7,Milan,Krajniak, 7 986,2.66, 3 450,2.34, 4 536,2.97,
5,Žilinský kraj,8,József,Menyhárt,  51,0.01,  22,0.01,  29,0.01,X
5,Žilinský kraj,9,František,Mikloško, 23 912,7.97, 9 568,6.50, 14 344,9.39,
5,Žilinský kraj,10,Robert,Mistrík,  551,0.18,  217,0.14,  334,0.21,X
5,Žilinský kraj,11,Maroš,Šefèoviè, 60 373,20.13, 29 448,20.01, 30 925,20.26,
5,Žilinský kraj,12,Róbert,Švec,  910,0.30,  411,0.27,  499,0.32,
5,Žilinský kraj,13,Bohumila,Tauchmannová,  671,0.22,  319,0.21,  352,0.23,
5,Žilinský kraj,14,Juraj,Zábojník,  795,0.26,  352,0.23,  443,0.29,
5,Žilinský kraj,15,Ivan,Zuzula,  558,0.18,  272,0.18,  286,0.18,
6,Banskobystrický kraj,1,Béla,Bugár, 9 601,4.07, 2 720,2.14, 6 881,6.31,
6,Banskobystrický kraj,2,Zuzana,Èaputová, 88 556,37.56, 53 519,42.23, 35 037,32.14,
6,Banskobystrický kraj,3,Martin,Daòo, 1 222,0.51,  631,0.49,  591,0.54,
6,Banskobystrický kraj,4,Štefan,Harabin, 32 123,13.62, 17 341,13.68, 14 782,13.56,
6,Banskobystrický kraj,5,Eduard,Chmelár, 6 466,2.74, 3 817,3.01, 2 649,2.43,
6,Banskobystrický kraj,6,Marian,Kotleba, 32 816,13.92, 14 025,11.06, 18 791,17.24,
6,Banskobystrický kraj,7,Milan,Krajniak, 5 294,2.24, 2 696,2.12, 2 598,2.38,
6,Banskobystrický kraj,8,József,Menyhárt,  171,0.07,  46,0.03,  125,0.11,X
6,Banskobystrický kraj,9,František,Mikloško, 8 055,3.41, 4 628,3.65, 3 427,3.14,
6,Banskobystrický kraj,10,Robert,Mistrík,  419,0.17,  199,0.15,  220,0.20,X
6,Banskobystrický kraj,11,Maroš,Šefèoviè, 48 812,20.70, 26 069,20.57, 22 743,20.86,
6,Banskobystrický kraj,12,Róbert,Švec,  864,0.36,  420,0.33,  444,0.40,
6,Banskobystrický kraj,13,Bohumila,Tauchmannová,  407,0.17,  171,0.13,  236,0.21,
6,Banskobystrický kraj,14,Juraj,Zábojník,  508,0.21,  247,0.19,  261,0.23,
6,Banskobystrický kraj,15,Ivan,Zuzula,  404,0.17,  203,0.16,  201,0.18,
7,Prešovský kraj,1,Béla,Bugár, 4 621,1.59, 1 683,1.18, 2 938,1.98,
7,Prešovský kraj,2,Zuzana,Èaputová, 87 945,30.28, 51 754,36.32, 36 191,24.46,
