Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,8,József,Menyhárt,  7,0.01,  7,0.01,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,9,František,Mikloško, 2 713,5.17, 2 713,5.17,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,10,Robert,Mistrík,  46,0.08,  46,0.08,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,11,Maroš,Šefèoviè, 7 505,14.30, 7 505,14.30,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,12,Róbert,Švec,  82,0.15,  82,0.15,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,13,Bohumila,Tauchmannová,  80,0.15,  80,0.15,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,14,Juraj,Zábojník,  213,0.40,  213,0.40,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,15,Ivan,Zuzula,  102,0.19,  102,0.19,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,1,Béla,Bugár,  630,1.08,  630,1.08,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,2,Zuzana,Èaputová, 34 576,59.46, 34 576,59.46,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,3,Martin,Daòo,  259,0.44,  259,0.44,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,4,Štefan,Harabin, 6 241,10.73, 6 241,10.73,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,5,Eduard,Chmelár, 1 610,2.76, 1 610,2.76,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,6,Marian,Kotleba, 2 541,4.36, 2 541,4.36,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,7,Milan,Krajniak, 1 074,1.84, 1 074,1.84,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,8,József,Menyhárt,  3,0.00,  3,0.00,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,9,František,Mikloško, 2 851,4.90, 2 851,4.90,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,10,Robert,Mistrík,  39,0.06,  39,0.06,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,11,Maroš,Šefèoviè, 7 892,13.57, 7 892,13.57,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,12,Róbert,Švec,  99,0.17,  99,0.17,  0,0.00,
