Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34, 39 187, 24 952,63.67, 24 931,99.91, 24 836,99.61
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,20, 20 042, 10 378,51.78, 10 375,99.97, 10 271,98.99
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,70, 66 641, 40 628,60.96, 40 605,99.94, 40 452,99.62
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuòa,19, 17 536, 8 954,51.06, 8 953,99.98, 8 916,99.58
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,45, 35 131, 21 726,61.84, 21 719,99.96, 21 629,99.58
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Raèa,18, 19 953, 11 768,58.97, 11 759,99.92, 11 710,99.58
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,5, 4 649, 2 877,61.88, 2 877,100.00, 2 863,99.51
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2, 1 405,  957,68.11,  956,99.89,  952,99.58
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,14, 14 162, 8 244,58.21, 8 236,99.90, 8 205,99.62
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,31, 31 278, 17 572,56.18, 17 567,99.97, 17 491,99.56
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,30, 30 273, 18 848,62.26, 18 836,99.93, 18 769,99.64
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamaè,6, 6 198, 4 078,65.79, 4 078,100.00, 4 065,99.68
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,4, 4 338, 3 001,69.17, 2 999,99.93, 2 987,99.59
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Èunovo,2, 1 212,  866,71.45,  866,100.00,  863,99.65
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2, 2 055, 1 430,69.58, 1 430,100.00, 1 426,99.72
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petralka,56, 94 260, 53 855,57.13, 53 826,99.94, 53 648,99.66
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,3, 3 371, 2 230,66.15, 2 221,99.59, 2 210,99.50
1,Bratislavskı kraj,102,Malacky,106,Malacky,507831,Borinka,1,  644,  412,63.97,  412,100.00,  412,100.00
1,Bratislavskı kraj,102,Malacky,106,Malacky,507890,Gajary,2, 2 468, 1 018,41.24, 1 018,100.00, 1 013,99.50
1,Bratislavskı kraj,102,Malacky,106,Malacky,507954,Jablonové,1, 1 074,  638,59.40,  638,100.00,  635,99.52
1,Bratislavskı kraj,102,Malacky,106,Malacky,507962,Jakubov,1, 1 326,  660,49.77,  659,99.84,  656,99.54
1,Bratislavskı kraj,102,Malacky,106,Malacky,508012,Kostolište,1, 1 223,  687,56.17,  687,100.00,  682,99.27
1,Bratislavskı kraj,102,Malacky,106,Malacky,508021,Kuchyòa,1, 1 444,  738,51.10,  738,100.00,  731,99.05
1,Bratislavskı kraj,102,Malacky,106,Malacky,508039,Láb,1, 1 502,  882,58.72,  882,100.00,  878,99.54
1,Bratislavskı kraj,102,Malacky,106,Malacky,508055,Lozorno,2, 2 556, 1 275,49.88, 1 275,100.00, 1 266,99.29
1,Bratislavskı kraj,102,Malacky,106,Malacky,508063,Malacky,12, 15 201, 7 764,51.07, 7 763,99.98, 7 724,99.49
1,Bratislavskı kraj,102,Malacky,106,Malacky,504556,Malé Leváre,1, 1 110,  445,40.09,  445,100.00,  438,98.42
1,Bratislavskı kraj,102,Malacky,106,Malacky,508080,Marianka,1, 1 635, 1 104,67.52, 1 104,100.00, 1 104,100.00
1,Bratislavskı kraj,102,Malacky,106,Malacky,508161,Pernek,1,  723,  393,54.35,  393,100.00,  392,99.74
1,Bratislavskı kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,1,  586,  313,53.41,  313,100.00,  310,99.04
1,Bratislavskı kraj,102,Malacky,106,Malacky,504637,Plaveckı Mikuláš,1,  622,  398,63.98,  398,100.00,  394,98.99
1,Bratislavskı kraj,102,Malacky,106,Malacky,508195,Plaveckı Štvrtok,2, 1 979,  868,43.86,  868,100.00,  864,99.53
1,Bratislavskı kraj,102,Malacky,106,Malacky,504769,Rohoník,3, 2 889, 1 357,46.97, 1 357,100.00, 1 350,99.48
1,Bratislavskı kraj,102,Malacky,106,Malacky,504858,Sološnica,1, 1 340,  724,54.02,  724,100.00,  720,99.44
1,Bratislavskı kraj,102,Malacky,106,Malacky,504874,Studienka,1, 1 438,  686,47.70,  686,100.00,  685,99.85
1,Bratislavskı kraj,102,Malacky,106,Malacky,508233,Stupava,8, 9 249, 5 630,60.87, 5 626,99.92, 5 604,99.60
1,Bratislavskı kraj,102,Malacky,106,Malacky,508241,Suchohrad,1,  581,  293,50.43,  293,100.00,  292,99.65
1,Bratislavskı kraj,102,Malacky,106,Malacky,504947,Ve¾ké Leváre,3, 3 036, 1 367,45.02, 1 367,100.00, 1 356,99.19
1,Bratislavskı kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,2, 1 840,  902,49.02,  902,100.00,  899,99.66
1,Bratislavskı kraj,102,Malacky,106,Malacky,500267,Záhorie (vojenskı obvod),1,  140,  66,47.14,  66,100.00,  65,98.48
1,Bratislavskı kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,1, 1 497,  560,37.40,  560,100.00,  556,99.28
1,Bratislavskı kraj,102,Malacky,106,Malacky,504980,Závod,2, 2 367,  991,41.86,  991,100.00,  986,99.49
1,Bratislavskı kraj,102,Malacky,106,Malacky,508381,Zohor,2, 2 700, 1 417,52.48, 1 417,100.00, 1 413,99.71
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507806,Báhoò,1, 1 532,  868,56.65,  868,100.00,  864,99.53
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507849,Budmerice,2, 1 944, 1 066,54.83, 1 066,100.00, 1 058,99.24
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507857,Èastá,2, 1 908, 1 110,58.17, 1 110,100.00, 1 106,99.63
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507873,Do¾any,1,  903,  622,68.88,  622,100.00,  619,99.51
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507881,Dubová,1,  927,  595,64.18,  595,100.00,  591,99.32
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507946,Jablonec,1,  801,  458,57.17,  458,100.00,  456,99.56
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508047,Limbach,2, 1 667, 1 140,68.38, 1 140,100.00, 1 140,100.00
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508101,Modra,7, 7 805, 4 711,60.35, 4 709,99.95, 4 695,99.70
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508179,Pezinok,18, 19 823, 12 520,63.15, 12 518,99.98, 12 471,99.62
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508187,Píla,1,  297,  179,60.26,  179,100.00,  179,100.00
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508225,Slovenskı Grob,3, 3 269, 2 101,64.27, 2 101,100.00, 2 093,99.61
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507989,Svätı Jur,5, 4 707, 2 799,59.46, 2 796,99.89, 2 779,99.39
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,4, 4 112, 2 541,61.79, 2 540,99.96, 2 530,99.60
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508268,Štefanová,1,  308,  179,58.11,  179,100.00,  178,99.44
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508306,Vinièné,2, 2 034, 1 375,67.60, 1 375,100.00, 1 369,99.56
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508314,Vinosady,1, 1 120,  764,68.21,  764,100.00,  762,99.73
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,508322,Vištuk,1, 1 147,  623,54.31,  623,100.00,  618,99.19
1,Bratislavskı kraj,104,Senec,108,Senec,507814,Bernolákovo,6, 6 048, 3 769,62.31, 3 769,100.00, 3 754,99.60
1,Bratislavskı kraj,104,Senec,108,Senec,507822,Blatné,1, 1 381,  824,59.66,  824,100.00,  820,99.51
1,Bratislavskı kraj,104,Senec,108,Senec,503681,Boldog,1,  404,  245,60.64,  245,100.00,  244,99.59
1,Bratislavskı kraj,104,Senec,108,Senec,507865,Èataj,1,  967,  615,63.59,  615,100.00,  614,99.83
1,Bratislavskı kraj,104,Senec,108,Senec,545333,Dunajská Luná,5, 5 085, 3 238,63.67, 3 237,99.96, 3 227,99.69
1,Bratislavskı kraj,104,Senec,108,Senec,507903,Hamuliakovo,1, 1 858, 1 063,57.21, 1 062,99.90, 1 062,100.00
1,Bratislavskı kraj,104,Senec,108,Senec,503797,Hrubá Borša,1,  808,  533,65.96,  533,100.00,  531,99.62
1,Bratislavskı kraj,104,Senec,108,Senec,503801,Hrubı Šúr,1,  753,  438,58.16,  438,100.00,  436,99.54
1,Bratislavskı kraj,104,Senec,108,Senec,503819,Hurbanova Ves,1,  317,  200,63.09,  200,100.00,  200,100.00
1,Bratislavskı kraj,104,Senec,108,Senec,507911,Chorvátsky Grob,4, 4 552, 3 029,66.54, 3 029,100.00, 3 023,99.80
1,Bratislavskı kraj,104,Senec,108,Senec,555487,Igram,1,  480,  267,55.62,  267,100.00,  265,99.25
1,Bratislavskı kraj,104,Senec,108,Senec,507938,Ivanka pri Dunaji,4, 5 308, 3 416,64.35, 3 407,99.73, 3 391,99.53
1,Bratislavskı kraj,104,Senec,108,Senec,507997,Kalinkovo,1, 1 126,  697,61.90,  697,100.00,  691,99.13
1,Bratislavskı kraj,104,Senec,108,Senec,555495,Kaplna,1,  703,  399,56.75,  399,100.00,  393,98.49
1,Bratislavskı kraj,104,Senec,108,Senec,503851,Kostolná pri Dunaji,1,  546,  337,61.72,  337,100.00,  334,99.10
1,Bratislavskı kraj,104,Senec,108,Senec,503894,Krá¾ová pri Senci,1, 1 612, 1 002,62.15, 1 002,100.00,  993,99.10
1,Bratislavskı kraj,104,Senec,108,Senec,508071,Malinovo,2, 2 736, 1 751,63.99, 1 751,100.00, 1 741,99.42
1,Bratislavskı kraj,104,Senec,108,Senec,508098,Miloslavov,2, 2 336, 1 634,69.94, 1 633,99.93, 1 624,99.44
1,Bratislavskı kraj,104,Senec,108,Senec,508110,Most pri Bratislave,2, 2 644, 1 648,62.32, 1 648,100.00, 1 642,99.63
1,Bratislavskı kraj,104,Senec,108,Senec,508136,Nová Dedinka,2, 2 150, 1 295,60.23, 1 295,100.00, 1 289,99.53
1,Bratislavskı kraj,104,Senec,108,Senec,582549,Novı Svet,1,  82,  56,68.29,  56,100.00,  56,100.00
1,Bratislavskı kraj,104,Senec,108,Senec,503983,Reca,1, 1 255,  658,52.43,  658,100.00,  648,98.48
1,Bratislavskı kraj,104,Senec,108,Senec,508209,Rovinka,3, 3 268, 2 054,62.85, 2 054,100.00, 2 049,99.75
1,Bratislavskı kraj,104,Senec,108,Senec,508217,Senec,16, 15 285, 8 200,53.64, 8 199,99.98, 8 156,99.47
1,Bratislavskı kraj,104,Senec,108,Senec,508276,Tomášov,2, 2 124, 1 163,54.75, 1 163,100.00, 1 158,99.57
1,Bratislavskı kraj,104,Senec,108,Senec,508284,Tureò,1,  920,  521,56.63,  521,100.00,  518,99.42
1,Bratislavskı kraj,104,Senec,108,Senec,508292,Ve¾kı Biel,2, 2 164, 1 190,54.99, 1 190,100.00, 1 186,99.66
1,Bratislavskı kraj,104,Senec,108,Senec,508331,Vlky,1,  372,  212,56.98,  212,100.00,  209,98.58
1,Bratislavskı kraj,104,Senec,108,Senec,555509,Zálesie,2, 1 529, 1 079,70.56, 1 079,100.00, 1 078,99.90
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501441,Báè,1,  472,  248,52.54,  248,100.00,  238,95.96
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501450,Baka,1,  973,  295,30.31,  293,99.32,  290,98.97
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501468,Baloò,1,  619,  156,25.20,  156,100.00,  154,98.71
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,555517,Bellova Ves,1,  256,  135,52.73,  135,100.00,  134,99.25
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501484,Blahová,1,  308,  167,54.22,  167,100.00,  166,99.40
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501492,Blatná na Ostrove,1,  766,  322,42.03,  322,100.00,  320,99.37
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,503461,Bodíky,1,  286,  135,47.20,  135,100.00,  135,100.00
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501506,Bohe¾ov,1,  296,  102,34.45,  102,100.00,  101,99.01
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501514,Èakany,1,  504,  269,53.37,  269,100.00,  267,99.25
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,580554,Èenkovce,2,  902,  367,40.68,  367,100.00,  367,100.00
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501531,Èiliská Radvaò,1,  986,  184,18.66,  184,100.00,  182,98.91
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501549,Dobrohoš,1,  433,  216,49.88,  216,100.00,  215,99.53
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501557,Dolnı Bar,1,  597,  198,33.16,  197,99.49,  196,99.49
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501611,Dolnı Štál,2, 1 624,  409,25.18,  409,100.00,  406,99.26
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501433,Dunajská Streda,18, 19 293, 6 041,31.31, 6 034,99.88, 5 991,99.28
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,555541,Dunajskı Klátov,1,  578,  149,25.77,  149,100.00,  148,99.32
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501573,Gabèíkovo,4, 4 332, 1 204,27.79, 1 204,100.00, 1 194,99.16
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501581,Holice,2, 1 770,  602,34.01,  602,100.00,  598,99.33
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501590,Horná Potôò,3, 1 731,  601,34.71,  601,100.00,  601,100.00
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,555568,Horné Mıto,1,  782,  159,20.33,  159,100.00,  157,98.74
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501603,Hornı Bar,2, 1 053,  438,41.59,  438,100.00,  437,99.77
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,501620,Hubice,1,  526,  273,51.90,  273,100.00,  271,99.26
