Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov 
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,  34
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,  20
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,  70
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuòa,  19
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,  45
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Raèa,  18
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,  5
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,  2
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,  14
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,  31
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,  30
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamaè,  6
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,  4
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Èunovo,  2
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,  2
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petralka,  56
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,  3
1,Bratislavskı kraj,102,Malacky,106,Malacky,507831,Borinka,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,507890,Gajary,  2
1,Bratislavskı kraj,102,Malacky,106,Malacky,507954,Jablonové,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,507962,Jakubov,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508012,Kostolište,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508021,Kuchyòa,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508039,Láb,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508055,Lozorno,  2
1,Bratislavskı kraj,102,Malacky,106,Malacky,508063,Malacky,  12
1,Bratislavskı kraj,102,Malacky,106,Malacky,504556,Malé Leváre,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508080,Marianka,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508161,Pernek,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,504637,Plaveckı Mikuláš,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508195,Plaveckı Štvrtok,  2
1,Bratislavskı kraj,102,Malacky,106,Malacky,504769,Rohoník,  3
1,Bratislavskı kraj,102,Malacky,106,Malacky,504858,Sološnica,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,504874,Studienka,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508233,Stupava,  8
1,Bratislavskı kraj,102,Malacky,106,Malacky,508241,Suchohrad,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,504947,Ve¾ké Leváre,  3
1,Bratislavskı kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,  2
1,Bratislavskı kraj,102,Malacky,106,Malacky,500267,Záhorie (vojenskı obvod),  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,  1
1,Bratislavskı kraj,102,Malacky,106,Malacky,504980,Závod,  2
1,Bratislavskı kraj,102,Malacky,106,Malacky,508381,Zohor,  2
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507806,Báhoò,  1
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507849,Budmerice,  2
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507857,Èastá,  2
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507873,Do¾any,  1
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,507881,Dubová,  1
