Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poèet okrskov,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok, Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
5,ilinskı kraj,507,ilina,  218, 183 051, 99 837,54.54, 99 813,99.97, 99 269,99.45
6,Banskobystrickı kraj,601,Banská Bystrica,  129, 91 492, 50 555,55.25, 50 536,99.96, 50 271,99.47
6,Banskobystrickı kraj,602,Brezno,  68, 49 941, 22 943,45.94, 22 936,99.96, 22 764,99.25
6,Banskobystrickı kraj,603,Luèenec,  133, 74 939, 29 281,39.07, 29 274,99.97, 29 050,99.23
6,Banskobystrickı kraj,604,Rimavská Sobota,  217, 94 956, 32 254,33.96, 32 253,99.99, 31 902,98.91
6,Banskobystrickı kraj,605,Ve¾kı Krtíš,  85, 35 225, 14 084,39.98, 14 081,99.97, 13 967,99.19
6,Banskobystrickı kraj,606,Zvolen,  167, 99 777, 51 393,51.50, 51 380,99.97, 51 066,99.38
6,Banskobystrickı kraj,607,iar nad Hronom,  113, 72 445, 36 947,51.00, 36 926,99.94, 36 698,99.38
7,Prešovskı kraj,701,Bardejov,  116, 59 910, 28 536,47.63, 28 527,99.96, 28 382,99.49
7,Prešovskı kraj,702,Humenné,  164, 88 933, 37 386,42.03, 37 378,99.97, 37 129,99.33
7,Prešovskı kraj,703,Kemarok,  67, 52 474, 22 579,43.02, 22 575,99.98, 22 403,99.23
7,Prešovskı kraj,704,Poprad,  136, 109 879, 54 321,49.43, 54 302,99.96, 53 985,99.41
7,Prešovskı kraj,705,Prešov,  241, 177 489, 88 017,49.59, 88 002,99.98, 87 460,99.38
7,Prešovskı kraj,706,Stará ¼ubovòa,  62, 39 869, 17 718,44.44, 17 713,99.97, 17 575,99.22
7,Prešovskı kraj,707,Stropkov,  52, 16 141, 7 395,45.81, 7 395,100.00, 7 336,99.20
7,Prešovskı kraj,708,Svidník,  78, 25 789, 11 655,45.19, 11 655,100.00, 11 591,99.45
7,Prešovskı kraj,709,Vranov nad Top¾ou,  93, 60 693, 24 673,40.65, 24 664,99.96, 24 510,99.37
8,Košickı kraj,801,Košice,  198, 191 388, 92 141,48.14, 92 114,99.97, 91 681,99.52
8,Košickı kraj,802,Košice - okolie,  144, 96 611, 41 016,42.45, 41 002,99.96, 40 680,99.21
8,Košickı kraj,803,Michalovce,  184, 104 615, 40 503,38.71, 40 499,99.99, 40 232,99.34
8,Košickı kraj,804,Roòava,  88, 47 830, 18 027,37.68, 18 025,99.98, 17 886,99.22
8,Košickı kraj,805,Spišská Nová Ves,  114, 97 447, 41 168,42.24, 41 163,99.98, 40 913,99.39
8,Košickı kraj,806,Trebišov,  127, 81 882, 27 454,33.52, 27 448,99.97, 27 177,99.01
