Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platných hlasov,Podiel platných hlasov z platných hlasov pre všetkých kandidátov v %,"Poèet platných hlasov v mestách a mestských èastiach","Podiel platných hlasov v mestách a mestských èastiach v %",Poèet platných hlasov v obciach,Podiel platných hlasov v obciach v %,Kandidát
1,Zuzana,Èaputová,1 056 582,58.40, 654 152,62.80, 402 430,52.43,zvolený
2,Maroš,Šefèoviè, 752 403,41.59, 387 383,37.19, 365 020,47.56,
