Názov,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
mestá a mestské èasti, 2 592,2 400 168,1 062 323,44.26,1 062 119,99.98,1 041 535,98.06
obce, 3 348,2 019 715, 785 094,38.87, 784 996,99.98, 767 450,97.76
