Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poèet okrskov,Poèet zapísanıch volièov,Poèet vydanıch obálok,Úèas volièov v %,Poèet odovzdanıch obálok, Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
7,Prešovskı kraj,705,Prešov,708,Sabinov,  61, 43 559, 16 174,37.13, 16 174,100.00, 15 579,96.32
7,Prešovskı kraj,706,Stará ¼ubovòa,710,Stará ¼ubovòa,  62, 39 741, 14 470,36.41, 14 466,99.97, 13 934,96.32
7,Prešovskı kraj,707,Stropkov,711,Stropkov,  52, 16 102, 6 478,40.23, 6 478,100.00, 6 315,97.48
7,Prešovskı kraj,708,Svidník,712,Svidník,  78, 25 608, 9 744,38.05, 9 744,100.00, 9 509,97.58
7,Prešovskı kraj,709,Vranov nad Top¾ou,713,Vranov nad Top¾ou,  93, 60 713, 20 190,33.25, 20 178,99.94, 19 707,97.66
8,Košickı kraj,801,Košice,802,Košice I,  58, 54 133, 24 320,44.92, 24 315,99.97, 23 912,98.34
8,Košickı kraj,801,Košice,803,Košice II,  60, 64 778, 26 481,40.87, 26 476,99.98, 25 992,98.17
8,Košickı kraj,801,Košice,804,Košice III,  26, 23 883, 9 661,40.45, 9 661,100.00, 9 487,98.19
8,Košickı kraj,801,Košice,805,Košice IV,  54, 47 452, 20 897,44.03, 20 896,99.99, 20 497,98.09
8,Košickı kraj,802,Košice - okolie,806,Košice - okolie,  144, 96 687, 33 640,34.79, 33 635,99.98, 32 929,97.90
8,Košickı kraj,803,Michalovce,807,Michalovce,  132, 85 994, 27 176,31.60, 27 174,99.99, 26 667,98.13
8,Košickı kraj,803,Michalovce,809,Sobrance,  52, 17 895, 6 457,36.08, 6 456,99.98, 6 327,98.00
8,Košickı kraj,804,Roòava,808,Roòava,  88, 47 786, 14 780,30.92, 14 780,100.00, 14 493,98.05
8,Košickı kraj,805,Spišská Nová Ves,801,Gelnica,  31, 23 877, 7 371,30.87, 7 371,100.00, 7 175,97.34
8,Košickı kraj,805,Spišská Nová Ves,810,Spišská Nová Ves,  83, 73 318, 26 107,35.60, 26 106,99.99, 25 376,97.20
8,Košickı kraj,806,Trebišov,811,Trebišov,  127, 81 895, 22 623,27.62, 22 623,100.00, 22 129,97.81
