Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Obec trvalého pobytu,Poznámka
1,Zuzana,Èaputová,Mgr.,45,advokátka,Pezinok,
2,Maroš,Šefèoviè,"JUDr., PhD.",52,podpredseda Európskej komisie pre energetickú úniu,Bratislava,
