Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,19,2,Maroš,Šefèoviè,  116,20.13
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,20,1,Zuzana,Èaputová,  546,80.29
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,20,2,Maroš,Šefèoviè,  134,19.70
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,21,1,Zuzana,Èaputová,  504,79.12
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,21,2,Maroš,Šefèoviè,  133,20.87
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,22,1,Zuzana,Èaputová,  484,81.89
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,22,2,Maroš,Šefèoviè,  107,18.10
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,23,1,Zuzana,Èaputová,  526,80.67
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,23,2,Maroš,Šefèoviè,  126,19.32
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,24,1,Zuzana,Èaputová,  515,81.23
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,24,2,Maroš,Šefèoviè,  119,18.76
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,25,1,Zuzana,Èaputová,  418,78.57
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,25,2,Maroš,Šefèoviè,  114,21.42
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,26,1,Zuzana,Èaputová,  737,81.43
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,26,2,Maroš,Šefèoviè,  168,18.56
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,27,1,Zuzana,Èaputová,  557,80.72
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,27,2,Maroš,Šefèoviè,  133,19.27
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,28,1,Zuzana,Èaputová,  510,78.22
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,28,2,Maroš,Šefèoviè,  142,21.77
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,29,1,Zuzana,Èaputová,  487,75.73
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,29,2,Maroš,Šefèoviè,  156,24.26
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,30,1,Zuzana,Èaputová,  488,81.06
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,30,2,Maroš,Šefèoviè,  114,18.93
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,31,1,Zuzana,Èaputová,  543,80.32
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,31,2,Maroš,Šefèoviè,  133,19.67
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,32,1,Zuzana,Èaputová,  557,79.45
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,32,2,Maroš,Šefèoviè,  144,20.54
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,33,1,Zuzana,Èaputová,  442,72.69
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,33,2,Maroš,Šefèoviè,  166,27.30
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34,1,Zuzana,Èaputová,  577,76.83
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34,2,Maroš,Šefèoviè,  174,23.16
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,1,Zuzana,Èaputová,  379,76.41
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,2,Maroš,Šefèoviè,  117,23.58
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,1,Zuzana,Èaputová,  445,83.02
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,2,Maroš,Šefèoviè,  91,16.97
